,0,1,2,3,4,5,6
7070,0.0,0.0,0.0,1.0,12-10-06,15:30,381
4266,1.0,0.0,0.0,0.0,14-10-06,10:30,157
6284,0.0,0.0,0.0,1.0,04-10-06,11:00,271
3955,1.0,0.0,0.0,0.0,11-10-06,4:45,8
8105,0.0,0.0,0.0,1.0,23-10-06,10:15,204
10003,0.0,1.0,0.0,0.0,13-10-06,4:45,5
1466,0.0,0.0,1.0,0.0,16-10-06,6:30,225
1640,0.0,0.0,1.0,0.0,18-10-06,2:00,7
10589,0.0,1.0,0.0,0.0,19-10-06,7:15,116
2456,0.0,0.0,1.0,0.0,26-10-06,14:00,293
4467,1.0,0.0,0.0,0.0,16-10-06,12:45,111
2021,0.0,0.0,1.0,0.0,22-10-06,1:15,61
1830,0.0,0.0,1.0,0.0,20-10-06,1:30,20
1343,0.0,0.0,1.0,0.0,14-10-06,23:45,102
11628,0.0,1.0,0.0,0.0,30-10-06,3:00,3
2701,0.0,0.0,1.0,0.0,29-10-06,3:15,38
10261,0.0,1.0,0.0,0.0,15-10-06,21:15,73
8503,0.0,0.0,0.0,1.0,27-10-06,13:45,312
9894,0.0,1.0,0.0,0.0,12-10-06,1:30,8
5693,1.0,0.0,0.0,0.0,29-10-06,7:15,22
8074,0.0,0.0,0.0,1.0,23-10-06,2:30,11
9211,0.0,1.0,0.0,0.0,03-10-06,22:45,53
9872,0.0,1.0,0.0,0.0,11-10-06,20:00,114
1103,0.0,0.0,1.0,0.0,12-10-06,11:45,293
467,0.0,0.0,1.0,0.0,05-10-06,20:45,167
10803,0.0,1.0,0.0,0.0,21-10-06,12:45,229
4388,1.0,0.0,0.0,0.0,15-10-06,17:00,145
8403,0.0,0.0,0.0,1.0,26-10-06,12:45,220
6876,0.0,0.0,0.0,1.0,10-10-06,15:00,322
2119,0.0,0.0,1.0,0.0,23-10-06,1:45,11
11070,0.0,1.0,0.0,0.0,24-10-06,7:30,194
1090,0.0,0.0,1.0,0.0,12-10-06,8:30,418
10532,0.0,1.0,0.0,0.0,18-10-06,17:00,339
6623,0.0,0.0,0.0,1.0,07-10-06,23:45,125
9249,0.0,1.0,0.0,0.0,05-10-06,8:15,235
7991,0.0,0.0,0.0,1.0,22-10-06,5:45,18
9708,0.0,1.0,0.0,0.0,10-10-06,3:00,3
10371,0.0,1.0,0.0,0.0,17-10-06,0:45,9
10052,0.0,1.0,0.0,0.0,13-10-06,17:00,339
554,0.0,0.0,1.0,0.0,06-10-06,18:30,324
9212,0.0,1.0,0.0,0.0,03-10-06,23:00,38
3480,1.0,0.0,0.0,0.0,06-10-06,6:00,76
6887,0.0,0.0,0.0,1.0,10-10-06,17:45,395
4482,1.0,0.0,0.0,0.0,16-10-06,16:30,139
1139,0.0,0.0,1.0,0.0,12-10-06,20:45,175
5807,1.0,0.0,0.0,0.0,30-10-06,11:45,144
10500,0.0,1.0,0.0,0.0,18-10-06,9:00,193
2576,0.0,0.0,1.0,0.0,27-10-06,20:00,197
146,0.0,0.0,1.0,0.0,02-10-06,12:30,242
3634,1.0,0.0,0.0,0.0,07-10-06,20:30,80
3076,1.0,0.0,0.0,0.0,02-10-06,1:00,7
